Protein,PName,PepCount,BL_BLUS_pval,BL_OGD_pval,OGD_OGDUS_pval,BL_OGD_FC,BL_BLUS_FC,OGD_OGDUS_FC,BL_Avg,BL_avg2,BL+US,OGD_avg,OGD_avg2,OGD+US
ARPC5_MOUSE,Actin-related protein 2/3 complex subunit 5; AltName: Full=Arp2/3 complex 16 kDa subunit; Short=p16-ARC; Accession=Q9CPW4; Q3U9T3; Q9D8E7; [Mus musculus (Mouse)],5,0.34,0.41,0.49,0.16,0.32,-0.16,25.30,25.30,24.99,25.14,25.14,25.30
ARPIN_MOUSE,Arpin; AltName: Full=Arp2/3 inhibition protein; Accession=Q9D0A3; Q3U1F3; Q8CA84; [Mus musculus (Mouse)],6,0.39,0.22,0.38,-0.44,-0.25,0.23,24.61,24.61,24.86,25.05,25.05,24.82
ARRB1_MOUSE,Beta-arrestin-1; AltName: Full=Arrestin beta-1; Accession=Q8BWG8; Q3UH95; Q8BTJ5; [Mus musculus (Mouse)],8,0.82,0.94,0.52,0.03,0.10,0.17,23.71,23.71,23.60,23.68,23.68,23.50
ARSB_MOUSE,Arylsulfatase B; Short=ASB; EC=3.1.6.12; AltName: Full=N-acetylgalactosamine-4-sulfatase; Short=G4S; Flags: Precursor; Accession=P50429; Q32KJ1; Q3TYV7; Q3U4Q6; Q8C404; [Mus musculus (Mouse)],1,0.83,0.99,0.81,0.00,0.32,-0.08,23.87,23.87,23.55,23.86,23.86,23.94
ASAH1_MOUSE,Acid ceramidase; Short=AC; Short=ACDase; Short=Acid CDase; EC=3.5.1.23; AltName: Full=Acylsphingosine deacylase; AltName: Full=N-acylsphingosine amidohydrolase; Contains: Acid ceramidase subunit alpha; Contains: Acid ceramidase subunit beta; Flags: Precur,2,0.60,0.39,0.52,-0.25,-0.15,0.20,24.69,24.69,24.85,24.94,24.94,24.74
ASAP1_MOUSE,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1; AltName: Full=130 kDa phosphatidylinositol 4,5-bisphosphate-dependent ARF1 GTPase-activating protein; AltName: Full=ADP-ribosylation factor-directed GTPase-activating protein 1; Short",2,0.38,0.58,0.99,0.26,0.35,0.01,23.21,23.21,22.86,22.95,22.95,22.95
ASAP2_MOUSE,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2; AltName: Full=Development and differentiation-enhancing factor 2; AltName: Full=Paxillin-associated protein with ARF GAP activity 3; Short=PAG3; AltName: Full=Pyk2 C-terminus-associat",5,0.63,0.78,0.37,0.06,-0.11,-0.18,24.12,24.12,24.23,24.06,24.06,24.24
ASNA_MOUSE,ATPase Asna1 {ECO:0000255|HAMAP-Rule:MF_03112}; EC=3.6.-.- {ECO:0000255|HAMAP-Rule:MF_03112}; AltName: Full=Arsenical pump-driving ATPase {ECO:0000255|HAMAP-Rule:MF_03112}; AltName: Full=Arsenite-stimulated ATPase {ECO:0000255|HAMAP-Rule:MF_03112}; Access,8,0.76,0.98,0.52,-0.01,0.10,0.14,25.97,25.97,25.87,25.98,25.98,25.84
ASNS_MOUSE,Asparagine synthetase [glutamine-hydrolyzing]; EC=6.3.5.4; AltName: Full=Glutamine-dependent asparagine synthetase; Accession=Q61024; Q3TJA1; Q8BPC8; [Mus musculus (Mouse)],6,0.49,0.94,0.49,0.05,0.22,0.44,24.47,24.47,24.25,24.42,24.42,23.98
ASPC1_MOUSE,Tether containing UBX domain for GLUT4; AltName: Full=Alveolar soft part sarcoma chromosomal region candidate gene 1 protein homolog; Accession=Q8VBT9; A2ABZ7; A2AC06; Q3UKD1; Q6V7K5; Q9CT64; [Mus musculus (Mouse)],4,0.96,0.42,0.28,0.17,0.01,-0.23,25.11,25.11,25.10,24.94,24.94,25.16
ASPH_MOUSE,Aspartyl/asparaginyl beta-hydroxylase; EC=1.14.11.16 {ECO:0000269|PubMed:11773073}; AltName: Full=Aspartate beta-hydroxylase; Short=ASP beta-hydroxylase; AltName: Full=Peptide-aspartate beta-dioxygenase; Accession=Q8BSY0; Q9EPA6; Q9EQ64; [Mus musculus (Mo,13,0.92,0.39,0.98,0.17,0.02,0.00,25.46,25.46,25.44,25.28,25.28,25.28
ASSY_MOUSE,Argininosuccinate synthase; EC=6.3.4.5; AltName: Full=Citrulline--aspartate ligase; Accession=P16460; [Mus musculus (Mouse)],31,0.79,0.49,0.88,0.17,0.07,-0.04,28.41,28.41,28.34,28.24,28.24,28.27
AT131_MOUSE,Manganese-transporting ATPase 13A1; Short=CATP; EC=3.6.3.-; Accession=Q9EPE9; B2RS54; [Mus musculus (Mouse)],6,0.22,0.17,0.84,0.16,0.21,-0.02,24.90,24.90,24.70,24.75,24.75,24.77
AT1A1_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-1; Short=Na(+)/K(+) ATPase alpha-1 subunit; EC=3.6.3.9; AltName: Full=Sodium pump subunit alpha-1; Flags: Precursor; Accession=Q8VDN2; Q91Z09; [Mus musculus (Mouse)],37,0.86,0.57,0.45,0.07,0.02,-0.10,28.33,28.33,28.31,28.26,28.26,28.36
AT1A2_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-2; Short=Na(+)/K(+) ATPase alpha-2 subunit; EC=3.6.3.9; AltName: Full=Na(+)/K(+) ATPase alpha(+) subunit; AltName: Full=Sodium pump subunit alpha-2; Flags: Precursor; Accession=Q6PIE5; Q80UZ8; [Mus muscul,1,0.24,0.27,0.21,-0.19,0.22,0.19,24.66,24.66,24.44,24.85,24.85,24.66
AT1A3_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-3; Short=Na(+)/K(+) ATPase alpha-3 subunit; EC=3.6.3.9; AltName: Full=Na(+)/K(+) ATPase alpha(III) subunit; AltName: Full=Sodium pump subunit alpha-3; Accession=Q6PIC6; [Mus musculus (Mouse)],1,0.99,0.62,0.64,-0.15,0.00,-0.17,25.28,25.28,25.28,25.43,25.43,25.59
AT1A4_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-4; Short=Na(+)/K(+) ATPase alpha-4 subunit; EC=3.6.3.9; AltName: Full=Sodium pump subunit alpha-4; Accession=Q9WV27; E9QKL5; Q9R173; Q9WV28; [Mus musculus (Mouse)],1,0.87,0.97,0.78,-0.04,0.23,0.36,24.30,24.30,24.07,24.34,24.34,23.98
AT1B1_MOUSE,Sodium/potassium-transporting ATPase subunit beta-1; AltName: Full=Sodium/potassium-dependent ATPase subunit beta-1; Accession=P14094; [Mus musculus (Mouse)],3,0.02,0.31,0.99,-0.35,-0.54,0.00,23.63,23.63,24.18,23.99,23.99,23.99
AT1B3_MOUSE,Sodium/potassium-transporting ATPase subunit beta-3; AltName: Full=Sodium/potassium-dependent ATPase subunit beta-3; Short=ATPB-3; AltName: CD_antigen=CD298; Accession=P97370; [Mus musculus (Mouse)],3,0.72,0.44,0.21,-0.15,-0.09,-0.12,26.56,26.56,26.65,26.71,26.71,26.84
AT2A2_MOUSE,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2; Short=SERCA2; Short=SR Ca(2+)-ATPase 2; EC=3.6.3.8; AltName: Full=Calcium pump 2; AltName: Full=Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform; AltName: Ful",20,0.61,0.70,0.95,-0.05,-0.06,0.01,26.55,26.55,26.61,26.60,26.60,26.60
AT2B1_MOUSE,Plasma membrane calcium-transporting ATPase 1 {ECO:0000303|PubMed:12209837}; Short=PMCA1 {ECO:0000303|PubMed:12209837}; EC=3.6.3.8 {ECO:0000255|RuleBase:RU361146}; AltName: Full=Plasma membrane calcium ATPase isoform 1 {ECO:0000303|PubMed:12209837}; AltNa,6,0.84,0.71,0.78,0.09,0.04,-0.05,24.48,24.48,24.44,24.40,24.40,24.45
AT2B4_MOUSE,Plasma membrane calcium-transporting ATPase 4 {ECO:0000305}; Short=PMCA4 {ECO:0000303|PubMed:15078889}; EC=3.6.3.8 {ECO:0000250|UniProtKB:P23634}; Accession=Q6Q477; Q32ME1; [Mus musculus (Mouse)],1,0.46,,,,0.20,,24.17,,23.97,,,
AT5F1_MOUSE,"ATP synthase F(0) complex subunit B1, mitochondrial; AltName: Full=ATP synthase subunit b; Short=ATPase subunit b; Flags: Precursor; Accession=Q9CQQ7; [Mus musculus (Mouse)]",11,0.53,0.54,0.56,0.10,-0.11,-0.08,27.35,27.35,27.46,27.25,27.25,27.32
ATAD1_MOUSE,ATPase family AAA domain-containing protein 1; EC=3.6.1.3; AltName: Full=Thorase; Accession=Q9D5T0; Q3U8V2; Q9D7A4; [Mus musculus (Mouse)],3,0.61,0.72,0.76,0.07,-0.09,0.07,24.02,24.02,24.11,23.95,23.95,23.88
ATAD3_MOUSE,ATPase family AAA domain-containing protein 3; AltName: Full=AAA-ATPase TOB3; Accession=Q925I1; A2AD89; Q3TA78; Q3UE74; Q69ZM7; Q8C6C6; [Mus musculus (Mouse)],6,0.77,0.59,0.57,-0.28,-0.16,0.15,23.50,23.50,23.66,23.78,23.78,23.63
ATE1_MOUSE,Arginyl-tRNA--protein transferase 1; Short=Arginyltransferase 1; Short=R-transferase 1; EC=2.3.2.8; AltName: Full=Arginine-tRNA--protein transferase 1; Accession=Q9Z2A5; Q8CFP7; Q9Z2A4; [Mus musculus (Mouse)],4,0.69,0.30,0.26,0.23,0.07,-0.25,25.45,25.45,25.38,25.22,25.22,25.47
ATG3_MOUSE,Ubiquitin-like-conjugating enzyme ATG3; EC=6.3.2.-; AltName: Full=Autophagy-related protein 3; Short=APG3-like; Accession=Q9CPX6; Q3TXJ9; [Mus musculus (Mouse)],4,0.70,0.89,0.68,-0.04,-0.11,0.09,24.92,24.92,25.03,24.96,24.96,24.87
ATG5_MOUSE,Autophagy protein 5; AltName: Full=APG5-like; Accession=Q99J83; [Mus musculus (Mouse)],2,0.33,0.60,0.13,-0.22,0.33,0.96,24.07,24.07,23.74,24.29,24.29,23.32
ATG7_MOUSE,Ubiquitin-like modifier-activating enzyme ATG7; AltName: Full=ATG12-activating enzyme E1 ATG7; AltName: Full=Autophagy-related protein 7; Short=APG7-like; Short=mAGP7; AltName: Full=Ubiquitin-activating enzyme E1-like protein; Accession=Q9D906; Q3TCD9; Q8,1,0.55,0.05,0.62,0.66,0.27,-0.15,23.59,23.59,23.32,22.93,22.93,23.08
ATHL1_MOUSE,Acid trehalase-like protein 1; EC=3.2.1.-; Accession=Q8BP56; Q571E9; Q8R585; [Mus musculus (Mouse)],1,,,,,,,,,,,,
ATIF1_MOUSE,"ATPase inhibitor, mitochondrial; AltName: Full=Inhibitor of F(1)F(o)-ATPase; Short=IF(1); Short=IF1; Flags: Precursor; Accession=O35143; Q9D879; [Mus musculus (Mouse)]",18,0.89,0.88,0.56,0.04,-0.04,-0.15,28.95,28.95,28.99,28.92,28.92,29.07
ATLA2_MOUSE,Atlastin-2; EC=3.6.5.-; AltName: Full=ADP-ribosylation factor-like protein 6-interacting protein 2; Short=ARL-6-interacting protein 2; Short=Aip-2; Accession=Q6PA06; Q3UX01; Q7TMM3; [Mus musculus (Mouse)],3,0.86,0.70,0.72,0.13,0.06,-0.17,24.40,24.40,24.35,24.27,24.27,24.45
ATLA3_MOUSE,Atlastin-3; EC=3.6.5.-; Accession=Q91YH5; Q3UGW3; Q8C0L7; Q8C174; Q99LZ9; [Mus musculus (Mouse)],7,0.40,0.47,0.73,0.15,0.16,0.07,27.54,27.54,27.38,27.39,27.39,27.32
ATM_MOUSE,Serine-protein kinase ATM; EC=2.7.11.1; AltName: Full=Ataxia telangiectasia mutated homolog; Short=A-T mutated homolog; Accession=Q62388; E9QNY7; [Mus musculus (Mouse)],1,0.71,0.99,0.83,0.00,-0.11,0.06,29.39,29.39,29.49,29.38,29.38,29.32
ATOX1_MOUSE,Copper transport protein ATOX1; AltName: Full=Metal transport protein ATX1; Accession=O08997; Q5NCU2; [Mus musculus (Mouse)],2,0.42,0.56,0.47,0.11,0.21,0.16,28.13,28.13,27.92,28.02,28.02,27.87
ATP4A_MOUSE,Potassium-transporting ATPase alpha chain 1; EC=3.6.3.10; AltName: Full=Gastric H(+)/K(+) ATPase subunit alpha; AltName: Full=Proton pump; Accession=Q64436; Q9CV46; [Mus musculus (Mouse)],1,,,,,,,,,,,,
ATP5E_MOUSE,"ATP synthase subunit epsilon, mitochondrial; Short=ATPase subunit epsilon; Accession=P56382; [Mus musculus (Mouse)]",4,0.24,0.55,0.65,-0.16,-0.30,-0.07,25.47,25.47,25.77,25.63,25.63,25.69
ATP5H_MOUSE,"ATP synthase subunit d, mitochondrial; Short=ATPase subunit d; Accession=Q9DCX2; B1ASE1; Q542H1; Q7M0I0; Q91YK9; [Mus musculus (Mouse)]",11,0.33,0.94,0.79,-0.02,-0.17,0.06,27.58,27.58,27.75,27.60,27.60,27.53
ATP5I_MOUSE,"ATP synthase subunit e, mitochondrial; Short=ATPase subunit e; Accession=Q06185; P70342; [Mus musculus (Mouse)]",5,0.70,0.91,0.86,-0.03,-0.11,-0.05,26.56,26.56,26.67,26.59,26.59,26.64
ATP5J_MOUSE,"ATP synthase-coupling factor 6, mitochondrial; Short=ATPase subunit F6; Flags: Precursor; Accession=P97450; [Mus musculus (Mouse)]",15,0.72,0.99,0.61,0.00,-0.06,-0.13,27.25,27.25,27.31,27.24,27.24,27.37
ATP5L_MOUSE,"ATP synthase subunit g, mitochondrial; Short=ATPase subunit g; Accession=Q9CPQ8; O70590; Q5M9M8; [Mus musculus (Mouse)]",5,0.57,0.10,0.76,0.49,0.16,-0.07,24.64,24.64,24.48,24.15,24.15,24.21
ATP8_MOUSE,ATP synthase protein 8; AltName: Full=A6L; AltName: Full=F-ATPase subunit 8; Accession=P03930; [Mus musculus (Mouse)],2,0.86,0.99,0.89,0.01,-0.03,-0.08,24.95,24.95,24.99,24.94,24.94,25.03
ATPA_MOUSE,"ATP synthase subunit alpha, mitochondrial; Flags: Precursor; Accession=Q03265; Q3TFN0; Q3THN8; Q3TPR0; Q3TPV3; Q3TZU3; Q3UIR7; Q543Y6; [Mus musculus (Mouse)]",59,0.65,0.79,0.61,-0.02,-0.03,0.04,30.23,30.23,30.26,30.25,30.25,30.21
ATPB_MOUSE,"ATP synthase subunit beta, mitochondrial; EC=3.6.3.14; Flags: Precursor; Accession=Q3U774; Q3UB69; Q3UF69; Q8CI65; Q8VEJ5; Q9CTI7; Q9CWX7; [Mus musculus (Mouse)]",70,0.81,0.75,0.75,-0.04,0.03,0.03,30.76,30.76,30.73,30.79,30.79,30.76
ATPD_MOUSE,"ATP synthase subunit delta, mitochondrial; AltName: Full=F-ATPase delta subunit; Flags: Precursor; Accession=Q9D3D9; [Mus musculus (Mouse)]",9,0.60,0.29,0.45,0.18,0.08,-0.10,26.22,26.22,26.14,26.04,26.04,26.13
ATPG_MOUSE,"ATP synthase subunit gamma, mitochondrial; AltName: Full=F-ATPase gamma subunit; Flags: Precursor; Accession=Q91VR2; [Mus musculus (Mouse)]",11,0.60,0.21,0.49,0.19,-0.06,-0.10,27.00,27.00,27.07,26.81,26.81,26.91
ATPK_MOUSE,"ATP synthase subunit f, mitochondrial; Accession=P56135; Q3THX9; Q9JMF4; [Mus musculus (Mouse)]",5,0.36,0.94,0.44,-0.02,-0.20,-0.10,27.01,27.01,27.22,27.03,27.03,27.13
ATPO_MOUSE,"ATP synthase subunit O, mitochondrial; AltName: Full=Oligomycin sensitivity conferral protein; Short=OSCP; Flags: Precursor; Accession=Q9DB20; [Mus musculus (Mouse)]",18,0.45,0.36,0.51,0.08,-0.09,-0.08,28.89,28.89,28.97,28.81,28.81,28.89
ATRX_MOUSE,Transcriptional regulator ATRX; EC=3.6.4.12; AltName: Full=ATP-dependent helicase ATRX; AltName: Full=HP1 alpha-interacting protein; AltName: Full=HP1-BP38 protein; AltName: Full=Heterochromatin protein 2; AltName: Full=X-linked nuclear protein; Accession,2,0.01,0.07,0.96,-0.49,-0.60,-0.02,23.32,23.32,23.92,23.81,23.81,23.83
ATX10_MOUSE,Ataxin-10; AltName: Full=Brain protein E46; AltName: Full=Spinocerebellar ataxia type 10 protein homolog; Accession=P28658; Q543S3; Q99LP5; Q9D1I1; [Mus musculus (Mouse)],1,0.88,0.63,0.54,-0.20,0.08,-0.24,23.55,23.55,23.47,23.75,23.75,24.00
ATX2_MOUSE,Ataxin-2; AltName: Full=Spinocerebellar ataxia type 2 protein homolog; Accession=O70305; P97421; [Mus musculus (Mouse)],5,0.15,0.44,0.24,-0.23,-0.39,-0.23,24.31,24.31,24.70,24.54,24.54,24.77
ATX2L_MOUSE,Ataxin-2-like protein; Accession=Q7TQH0; Q80XN9; Q8K059; [Mus musculus (Mouse)],12,0.92,0.34,0.54,0.15,0.02,-0.13,25.67,25.67,25.65,25.52,25.52,25.65
ATX3_MOUSE,Ataxin-3; EC=3.4.19.12; AltName: Full=Machado-Joseph disease protein 1 homolog; Accession=Q9CVD2; [Mus musculus (Mouse)],1,0.64,0.83,0.66,0.14,0.67,-0.19,23.93,23.93,23.26,23.79,23.79,23.98
AUHM_MOUSE,"Methylglutaconyl-CoA hydratase, mitochondrial; EC=4.2.1.18; AltName: Full=AU-specific RNA-binding enoyl-CoA hydratase; Short=AU-binding enoyl-CoA hydratase; Short=muAUH; Flags: Precursor; Accession=Q9JLZ3; Q80YD7; Q8QZS0; Q9CY78; Q9D155; [Mus musculus (Mo",1,0.72,,,,0.15,,22.96,,22.81,,,
AUP1_MOUSE,Ancient ubiquitous protein 1; Accession=P70295; [Mus musculus (Mouse)],2,0.56,0.88,0.64,-0.08,-0.25,0.22,23.30,23.30,23.54,23.38,23.38,23.16
B2CL1_MOUSE,Bcl-2-like protein 1; Short=Bcl2-L-1; AltName: Full=Apoptosis regulator Bcl-X; Accession=Q64373; O35844; Q60657; Q60658; Q61338; [Mus musculus (Mouse)],1,0.27,0.46,0.28,0.13,-0.19,-0.25,24.62,24.62,24.81,24.48,24.48,24.74
B4GT1_MOUSE,"Beta-1,4-galactosyltransferase 1; Short=Beta-1,4-GalTase 1; Short=Beta4Gal-T1; Short=b4Gal-T1; EC=2.4.1.-; AltName: Full=UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1; AltName: Full=UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransfer",1,0.70,0.24,0.22,0.29,-0.09,-0.26,24.86,24.86,24.96,24.57,24.57,24.83
BABA1_MOUSE,BRISC and BRCA1-A complex member 1; AltName: Full=Mediator of RAP80 interactions and targeting subunit of 40 kDa; AltName: Full=New component of the BRCA1-A complex; Accession=Q3UI43; Q8C5Q8; Q99JU2; Q9CTJ4; [Mus musculus (Mouse)],1,,,0.86,,,-0.12,,,,,23.47,23.58
BACD3_MOUSE,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3; Short=mBACURD3; AltName: Full=BTB/POZ domain-containing protein KCTD10; Accession=Q922M3; [Mus musculus (Mouse)],2,0.42,0.96,0.98,-0.06,-0.60,-0.01,23.04,23.04,23.64,23.10,23.10,23.11
BACH_MOUSE,Cytosolic acyl coenzyme A thioester hydrolase; EC=3.1.2.2; AltName: Full=Acyl-CoA thioesterase 7; AltName: Full=Brain acyl-CoA hydrolase; Short=BACH; AltName: Full=CTE-IIa; Short=CTE-II; AltName: Full=Long chain acyl-CoA thioester hydrolase; Accession=Q91,20,0.70,0.89,0.85,-0.03,-0.06,0.03,28.34,28.34,28.40,28.37,28.37,28.33
BAG3_MOUSE,BAG family molecular chaperone regulator 3; Short=BAG-3; AltName: Full=Bcl-2-associated athanogene 3; AltName: Full=Bcl-2-binding protein Bis; Accession=Q9JLV1; Q9CQL3; Q9JJC7; [Mus musculus (Mouse)],11,0.45,0.35,0.73,-0.17,-0.12,0.06,26.02,26.02,26.14,26.18,26.18,26.13
BAG6_MOUSE,Large proline-rich protein BAG6; AltName: Full=BAG family molecular chaperone regulator 6; AltName: Full=BCL2-associated athanogene 6; Short=BAG-6; Short=BAG6; AltName: Full=HLA-B-associated transcript 3; AltName: Full=Protein Scythe; Accession=Q9Z1R2; Q8,6,0.05,0.09,0.57,0.47,0.31,0.29,25.68,25.68,25.37,25.20,25.20,24.91
BAP29_MOUSE,B-cell receptor-associated protein 29; Short=BCR-associated protein 29; Short=Bap29; Accession=Q61334; [Mus musculus (Mouse)],7,0.94,0.57,0.80,0.13,-0.02,-0.05,24.35,24.35,24.37,24.23,24.23,24.28
BAP31_MOUSE,B-cell receptor-associated protein 31; Short=BCR-associated protein 31; Short=Bap31; AltName: Full=p28; Accession=Q61335; A2ALM8; Q9D0E9; Q9D8G7; [Mus musculus (Mouse)],33,0.96,0.93,0.74,0.02,0.01,-0.04,28.14,28.14,28.13,28.12,28.12,28.15
BASI_MOUSE,Basigin; AltName: Full=Basic immunoglobulin superfamily; AltName: Full=HT7 antigen; AltName: Full=Membrane glycoprotein gp42; AltName: CD_antigen=CD147; Flags: Precursor; Accession=P18572; Q6LDB0; Q7TSC0; [Mus musculus (Mouse)],2,0.27,0.24,0.27,0.30,0.40,0.27,25.14,25.14,24.74,24.84,24.84,24.57
BASP1_MOUSE,Brain acid soluble protein 1; AltName: Full=22 kDa neuronal tissue-enriched acidic protein; AltName: Full=Neuronal axonal membrane protein NAP-22; Accession=Q91XV3; [Mus musculus (Mouse)],3,0.31,0.52,0.66,0.47,0.62,-0.22,23.16,23.16,22.54,22.68,22.68,22.90
BAX_MOUSE,Apoptosis regulator BAX; Accession=Q07813; [Mus musculus (Mouse)],1,0.83,0.63,0.83,-0.17,0.07,0.06,27.29,27.29,27.22,27.46,27.46,27.40
BAZ1B_MOUSE,Tyrosine-protein kinase BAZ1B; EC=2.7.10.2; AltName: Full=Bromodomain adjacent to zinc finger domain protein 1B; AltName: Full=Williams syndrome transcription factor homolog; AltName: Full=Williams-Beuren syndrome chromosomal region 9 protein homolog; Acc,7,0.31,0.32,0.45,0.26,-0.25,-0.18,23.44,23.44,23.69,23.18,23.18,23.35
BCAM_MOUSE,Basal cell adhesion molecule; AltName: Full=B-CAM cell surface glycoprotein; AltName: Full=Lutheran antigen; AltName: CD_antigen=CD239; Flags: Precursor; Accession=Q9R069; Q9ESS5; Q9JKB2; [Mus musculus (Mouse)],1,0.69,0.58,0.20,0.17,-0.12,-0.33,24.80,24.80,24.92,24.63,24.63,24.96
BCAR1_MOUSE,Breast cancer anti-estrogen resistance protein 1; AltName: Full=CRK-associated substrate; AltName: Full=p130cas; Accession=Q61140; Q60869; Q6PFF9; [Mus musculus (Mouse)],4,0.74,0.23,0.55,0.40,0.09,-0.25,23.69,23.69,23.60,23.30,23.30,23.55
BCAT2_MOUSE,"Branched-chain-amino-acid aminotransferase, mitochondrial; Short=BCAT(m); EC=2.6.1.42; Flags: Precursor; Accession=O35855; Q8VD03; [Mus musculus (Mouse)]",1,0.87,0.10,0.96,-0.79,0.08,0.02,23.01,23.01,22.94,23.81,23.81,23.79
BCCIP_MOUSE,BRCA2 and CDKN1A-interacting protein; Accession=Q9CWI3; Q9D1E0; [Mus musculus (Mouse)],1,0.13,0.55,0.45,0.41,1.13,0.54,24.04,24.04,22.91,23.63,23.63,23.10
BCL10_MOUSE,B-cell lymphoma/leukemia 10; AltName: Full=B-cell CLL/lymphoma 10; Short=Bcl-10; AltName: Full=CARD-containing molecule enhancing NF-kappa-B; AltName: Full=CARD-like apoptotic protein; Short=mCLAP; AltName: Full=CED-3/ICH-1 prodomain homologous E10-like r,1,,,0.66,,,0.38,,,,,22.93,22.55
BCLF1_MOUSE,Bcl-2-associated transcription factor 1; Short=Btf; Accession=Q8K019; Q8BNZ0; Q8C2E9; Q9CSW5; [Mus musculus (Mouse)],22,0.19,0.27,0.94,0.09,-0.13,-0.01,25.78,25.78,25.91,25.69,25.69,25.70
BCR_MOUSE,Breakpoint cluster region protein; EC=2.7.11.1; Accession=Q6PAJ1; E9PZL3; Q61339; Q6ZPE5; Q99LW5; [Mus musculus (Mouse)],1,0.65,0.61,0.07,-0.15,-0.14,0.30,23.86,23.86,23.99,24.01,24.01,23.71
BD1L1_MOUSE,Biorientation of chromosomes in cell division protein 1-like 1 {ECO:0000305}; Accession=E9Q6J5; O35243; Q3TR39; Q3USW6; Q80TF0; Q8BHG7; [Mus musculus (Mouse)],2,,,,,,,,,,,,
BEND5_MOUSE,BEN domain-containing protein 5; Accession=Q8C6D4; Q3TJI2; Q80V74; Q80WB6; Q9CRW0; [Mus musculus (Mouse)],1,,0.12,0.34,0.53,,0.14,,24.51,,23.98,23.98,23.85
BET1L_MOUSE,BET1-like protein; AltName: Full=Golgi SNARE with a size of 15 kDa; Short=GOS-15; Short=GS15; AltName: Full=Vesicle transport protein GOS15; Accession=O35153; Q9D0E4; [Mus musculus (Mouse)],1,0.18,0.40,0.82,0.18,0.37,-0.05,25.02,25.02,24.66,24.84,24.84,24.89
BGAL_MOUSE,Beta-galactosidase; EC=3.2.1.23; AltName: Full=Acid beta-galactosidase; Short=Lactase; Flags: Precursor; Accession=P23780; [Mus musculus (Mouse)],1,0.85,0.17,0.74,0.50,0.09,-0.11,24.25,24.25,24.16,23.75,23.75,23.86
BICD2_MOUSE,Protein bicaudal D homolog 2; Short=Bic-D 2; Accession=Q921C5; Q80TU1; Q8BTE3; Q9DCL3; [Mus musculus (Mouse)],11,0.14,0.21,0.46,0.37,0.35,0.19,23.57,23.57,23.22,23.20,23.20,23.01
BIEA_MOUSE,Biliverdin reductase A; Short=BVR A; EC=1.3.1.24; AltName: Full=Biliverdin-IX alpha-reductase; Flags: Precursor; Accession=Q9CY64; Q3T9C6; Q80WR6; Q9DD21; [Mus musculus (Mouse)],11,0.72,0.38,0.84,0.24,0.09,0.04,25.73,25.73,25.64,25.49,25.49,25.45
BIG1_MOUSE,Brefeldin A-inhibited guanine nucleotide-exchange protein 1; Short=BIG1; Short=Brefeldin A-inhibited GEP 1; AltName: Full=ADP-ribosylation factor guanine nucleotide-exchange factor 1; Accession=G3X9K3; Q8BKL2; [Mus musculus (Mouse)],1,0.08,0.53,0.12,-0.22,-0.64,-0.59,22.61,22.61,23.25,22.83,22.83,23.41
BIN1_MOUSE,Myc box-dependent-interacting protein 1; AltName: Full=Amphiphysin II; AltName: Full=Amphiphysin-like protein; AltName: Full=Bridging integrator 1; AltName: Full=SH3 domain-containing protein 9; Accession=O08539; Q62434; [Mus musculus (Mouse)],6,0.91,0.60,0.58,0.17,0.03,-0.19,24.83,24.83,24.81,24.66,24.66,24.85
BLMH_MOUSE,Bleomycin hydrolase; Short=BH; Short=BLM hydrolase; Short=BMH; EC=3.4.22.40; Accession=Q8R016; Q3TJR8; Q8BLZ4; Q8BZH9; Q8C111; Q8CID9; [Mus musculus (Mouse)],2,,,,,,,,,,,,
BLVRB_MOUSE,Flavin reductase (NADPH); Short=FR; EC=1.5.1.30 {ECO:0000250|UniProtKB:P30043}; AltName: Full=Biliverdin reductase B; Short=BVR-B; EC=1.3.1.24 {ECO:0000250|UniProtKB:P30043}; AltName: Full=Biliverdin-IX beta-reductase; AltName: Full=NADPH-dependent diapho,6,0.61,0.14,0.26,0.60,-0.23,-0.30,25.54,25.54,25.76,24.94,24.94,25.24
BMP2K_MOUSE,BMP-2-inducible protein kinase; Short=BIKe; EC=2.7.11.1; Accession=Q91Z96; Q8C8L7; [Mus musculus (Mouse)],2,0.02,0.34,0.15,0.21,-1.05,-0.36,23.69,23.69,24.74,23.48,23.48,23.84
BMX_MOUSE,Cytoplasmic tyrosine-protein kinase BMX; EC=2.7.10.2; AltName: Full=Bone marrow tyrosine kinase gene in chromosome X protein homolog; Accession=P97504; [Mus musculus (Mouse)],3,,,,,,,,,,,,
BNIP2_MOUSE,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2; Accession=O54940; Q8K4H0; [Mus musculus (Mouse)],3,0.19,0.24,0.91,0.29,0.31,0.03,24.88,24.88,24.57,24.59,24.59,24.57
